training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.5919,0.0691,1.1776,2.3214
0,1,0.8584,0.8751,0.4457,0.3926
0,2,0.8974,0.9254,0.3280,0.2411
0,3,0.9163,0.9390,0.2669,0.1973
0,4,0.9273,0.9466,0.2320,0.1681
0,5,0.9347,0.9546,0.2073,0.1428
0,6,0.9432,0.9639,0.1817,0.1226
0,7,0.9476,0.9670,0.1669,0.1056
1,0,0.6198,0.0957,1.1250,3.5431
1,1,0.7713,0.8306,0.7047,0.5601
1,2,0.8034,0.8712,0.6019,0.4372
1,3,0.8225,0.8907,0.5493,0.3710
1,4,0.8341,0.9008,0.5113,0.3348
1,5,0.8445,0.9107,0.4767,0.3061
1,6,0.8528,0.9183,0.4511,0.2922
1,7,0.8596,0.9234,0.4333,0.2656
1,8,0.8661,0.9276,0.4141,0.2511
1,9,0.8705,0.9314,0.3979,0.2407
2,0,0.6177,0.1096,1.1261,2.8995
2,1,0.7604,0.8444,0.7311,0.5518
2,2,0.7906,0.8786,0.6379,0.4277
2,3,0.8151,0.8951,0.5695,0.3652
2,4,0.8267,0.9079,0.5347,0.3187
2,5,0.8358,0.9150,0.5022,0.2980
2,6,0.8442,0.9225,0.4784,0.2755
2,7,0.8520,0.9269,0.4556,0.2627
2,8,0.8574,0.9307,0.4405,0.2494
2,9,0.8626,0.9355,0.4226,0.2407
3,0,0.6209,0.1328,1.1172,2.5042
3,1,0.7556,0.8468,0.7484,0.5515
3,2,0.7851,0.8784,0.6576,0.4296
3,3,0.8043,0.8931,0.6040,0.3751
3,4,0.8183,0.9007,0.5637,0.3581
3,5,0.8283,0.9097,0.5291,0.3243
3,6,0.8362,0.9163,0.5094,0.3030
3,7,0.8427,0.9207,0.4874,0.2901
3,8,0.8477,0.9238,0.4744,0.2724
3,9,0.8543,0.9274,0.4529,0.2627
4,0,0.6020,0.1321,1.1701,2.5230
4,1,0.7440,0.8433,0.7771,0.5856
4,2,0.7791,0.8814,0.6776,0.4390
4,3,0.8018,0.8959,0.6094,0.3837
4,4,0.8154,0.9069,0.5711,0.3448
4,5,0.8246,0.9153,0.5396,0.3155
