training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.7765,0.0964,0.6696,2.3133
0,1,0.9125,0.9225,0.2736,0.2390
0,2,0.9348,0.9510,0.2068,0.1570
0,3,0.9457,0.9654,0.1717,0.1113
0,4,0.9530,0.9697,0.1470,0.0946
1,0,0.8076,0.0956,0.5930,3.3906
1,1,0.8965,0.9257,0.3242,0.2419
1,2,0.9165,0.9459,0.2615,0.1776
1,3,0.9279,0.9586,0.2259,0.1409
1,4,0.9373,0.9658,0.1980,0.1157
1,5,0.9432,0.9691,0.1795,0.1015
1,6,0.9481,0.9758,0.1631,0.0855
1,7,0.9529,0.9797,0.1474,0.0751
2,0,0.8183,0.1304,0.5591,3.0204
2,1,0.8993,0.9296,0.3152,0.2335
2,2,0.9180,0.9497,0.2552,0.1722
2,3,0.9300,0.9593,0.2164,0.1394
2,4,0.9368,0.9669,0.1949,0.1165
2,5,0.9426,0.9728,0.1768,0.0959
