training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.7663,0.0964,0.7049,2.3133
0,1,0.9084,0.9224,0.2916,0.2504
0,2,0.9300,0.9424,0.2206,0.1870
0,3,0.9409,0.9577,0.1856,0.1351
0,4,0.9495,0.9664,0.1572,0.1096
0,5,0.9571,0.9717,0.1349,0.0902
0,6,0.9606,0.9769,0.1227,0.0730
0,7,0.9651,0.9800,0.1083,0.0631
0,8,0.9687,0.9858,0.0950,0.0485
1,0,0.7931,0.0873,0.6259,4.0773
1,1,0.9092,0.9280,0.2874,0.2320
1,2,0.9292,0.9516,0.2228,0.1582
1,3,0.9414,0.9560,0.1832,0.1433
1,4,0.9504,0.9689,0.1539,0.1013
1,5,0.9576,0.9741,0.1331,0.0830
1,6,0.9615,0.9787,0.1174,0.0694
1,7,0.9654,0.9818,0.1058,0.0633
1,8,0.9692,0.9858,0.0940,0.0475
2,0,0.8313,0.1372,0.5177,3.2432
2,1,0.9214,0.9387,0.2450,0.1947
2,2,0.9394,0.9582,0.1872,0.1326
2,3,0.9506,0.9695,0.1555,0.1038
2,4,0.9584,0.9758,0.1311,0.0811
2,5,0.9646,0.9792,0.1098,0.0681
