training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.5862,0.0691,1.1923,2.3214
0,1,0.8589,0.8811,0.4449,0.3793
0,2,0.8972,0.9248,0.3293,0.2459
0,3,0.9139,0.9356,0.2704,0.2038
0,4,0.9258,0.9495,0.2367,0.1617
0,5,0.9343,0.9562,0.2073,0.1390
0,6,0.9409,0.9594,0.1864,0.1328
0,7,0.9468,0.9652,0.1684,0.1084
0,8,0.9515,0.9683,0.1541,0.0996
0,9,0.9534,0.9714,0.1451,0.0910
0,10,0.9582,0.9760,0.1325,0.0806
1,0,0.7381,0.1081,0.7849,3.6364
1,1,0.8844,0.9075,0.3648,0.2918
1,2,0.9129,0.9355,0.2789,0.2048
1,3,0.9258,0.9494,0.2366,0.1594
1,4,0.9351,0.9559,0.2046,0.1387
1,5,0.9423,0.9608,0.1834,0.1267
1,6,0.9493,0.9690,0.1608,0.1059
2,0,0.7305,0.1136,0.7996,3.5932
2,1,0.8827,0.9082,0.3647,0.2920
2,2,0.9139,0.9393,0.2752,0.1962
2,3,0.9287,0.9510,0.2285,0.1606
3,0,0.7753,0.0966,0.6792,3.0253
3,1,0.8947,0.9173,0.3339,0.2626
3,2,0.9192,0.9418,0.2605,0.1844
3,3,0.9336,0.9532,0.2177,0.1476
3,4,0.9421,0.9584,0.1876,0.1312
3,5,0.9484,0.9667,0.1664,0.1068
4,0,0.7450,0.1428,0.7533,2.9750
4,1,0.8975,0.9189,0.3286,0.2754
4,2,0.9221,0.9446,0.2512,0.1758
4,3,0.9362,0.9547,0.2124,0.1436
4,4,0.9444,0.9634,0.1800,0.1175
4,5,0.9520,0.9689,0.1570,0.1012
4,6,0.9559,0.9727,0.1401,0.0888
4,7,0.9615,0.9767,0.1277,0.0777
4,8,0.9656,0.9815,0.1149,0.0615
