training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.5862,0.0691,1.1923,2.3214
0,1,0.8589,0.8811,0.4449,0.3793
0,2,0.8972,0.9248,0.3293,0.2459
0,3,0.9139,0.9356,0.2704,0.2038
0,4,0.9258,0.9495,0.2367,0.1617
0,5,0.9343,0.9562,0.2073,0.1390
0,6,0.9409,0.9594,0.1864,0.1328
0,7,0.9468,0.9652,0.1684,0.1084
0,8,0.9515,0.9683,0.1541,0.0996
0,9,0.9534,0.9714,0.1451,0.0910
0,10,0.9582,0.9760,0.1325,0.0806
1,0,0.7225,0.1081,0.8235,3.6364
1,1,0.8824,0.9033,0.3747,0.3119
1,2,0.9103,0.9337,0.2848,0.2065
1,3,0.9265,0.9473,0.2358,0.1666
1,4,0.9346,0.9575,0.2064,0.1357
2,0,0.6834,0.0943,0.9286,3.7697
2,1,0.8798,0.8918,0.3797,0.3353
2,2,0.9134,0.9373,0.2784,0.2024
2,3,0.9262,0.9505,0.2314,0.1602
2,4,0.9382,0.9603,0.1955,0.1286
2,5,0.9452,0.9668,0.1725,0.1088
3,0,0.7697,0.1119,0.6915,2.9374
3,1,0.8972,0.9169,0.3258,0.2607
3,2,0.9203,0.9305,0.2519,0.2155
3,3,0.9343,0.9558,0.2074,0.1387
3,4,0.9436,0.9622,0.1792,0.1202
3,5,0.9504,0.9670,0.1584,0.1031
3,6,0.9566,0.9733,0.1408,0.0901
3,7,0.9615,0.9764,0.1253,0.0793
3,8,0.9646,0.9805,0.1128,0.0650
3,9,0.9686,0.9835,0.1003,0.0553
4,0,0.7695,0.1546,0.6877,3.3019
4,1,0.9035,0.9226,0.3032,0.2431
4,2,0.9277,0.9450,0.2317,0.1805
4,3,0.9396,0.9588,0.1902,0.1322
4,4,0.9488,0.9678,0.1628,0.1078
4,5,0.9550,0.9735,0.1407,0.0872
