training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.5862,0.0691,1.1923,2.3214
0,1,0.8589,0.8811,0.4449,0.3793
0,2,0.8972,0.9248,0.3293,0.2459
0,3,0.9139,0.9356,0.2704,0.2038
0,4,0.9258,0.9495,0.2367,0.1617
0,5,0.9343,0.9562,0.2073,0.1390
0,6,0.9409,0.9594,0.1864,0.1328
0,7,0.9468,0.9652,0.1684,0.1084
0,8,0.9515,0.9683,0.1541,0.0996
0,9,0.9534,0.9714,0.1451,0.0910
0,10,0.9582,0.9760,0.1325,0.0806
1,0,0.8509,0.1081,0.4564,3.6364
1,1,0.9316,0.9047,0.2181,0.3139
1,2,0.9480,0.9304,0.1652,0.2249
1,3,0.9562,0.9404,0.1424,0.1913
1,4,0.9614,0.9556,0.1233,0.1396
1,5,0.9658,0.9604,0.1104,0.1265
1,6,0.9691,0.9650,0.0996,0.1134
1,7,0.9716,0.9689,0.0913,0.1033
2,0,0.8731,0.0960,0.3963,3.8096
2,1,0.9411,0.9181,0.1897,0.2620
2,2,0.9549,0.9438,0.1451,0.1852
2,3,0.9621,0.9521,0.1227,0.1512
2,4,0.9667,0.9596,0.1065,0.1290
2,5,0.9705,0.9660,0.0938,0.1115
2,6,0.9736,0.9725,0.0854,0.0898
2,7,0.9759,0.9759,0.0750,0.0800
3,0,0.8863,0.1241,0.3633,3.3276
3,1,0.9446,0.9218,0.1810,0.2490
3,2,0.9573,0.9456,0.1388,0.1778
3,3,0.9639,0.9516,0.1179,0.1536
3,4,0.9689,0.9638,0.1006,0.1169
3,5,0.9726,0.9715,0.0882,0.0946
4,0,0.8911,0.1722,0.3446,3.2223
4,1,0.9467,0.9172,0.1720,0.2637
4,2,0.9599,0.9466,0.1306,0.1701
4,3,0.9657,0.9581,0.1112,0.1378
4,4,0.9708,0.9637,0.0950,0.1172
4,5,0.9744,0.9712,0.0826,0.0944
4,6,0.9773,0.9762,0.0736,0.0764
