training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.8955,0.1160,0.3103,2.3092
0,1,0.9803,0.9891,0.0649,0.0369
1,0,0.9272,0.2827,0.2364,2.6950
1,1,0.9622,0.9797,0.1220,0.0642
2,0,0.9222,0.3525,0.2598,3.3906
2,1,0.9617,0.9817,0.1253,0.0602
2,2,0.9687,0.9849,0.1023,0.0492
2,3,0.9725,0.9885,0.0900,0.0388
3,0,0.9200,0.3776,0.2666,3.0990
3,1,0.9614,0.9807,0.1264,0.0631
3,2,0.9682,0.9847,0.1023,0.0505
4,0,0.9222,0.4022,0.2555,2.6839
4,1,0.9583,0.9801,0.1390,0.0667
4,2,0.9660,0.9835,0.1132,0.0546
