training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.8955,0.1160,0.3103,2.3092
0,1,0.9803,0.9891,0.0649,0.0369
1,0,0.9204,0.2827,0.2637,2.6950
1,1,0.9585,0.9799,0.1348,0.0644
1,2,0.9654,0.9850,0.1139,0.0481
2,0,0.9194,0.3832,0.2630,3.2067
2,1,0.9573,0.9829,0.1361,0.0581
3,0,0.9167,0.3806,0.2774,2.8501
3,1,0.9560,0.9807,0.1427,0.0636
3,2,0.9637,0.9856,0.1175,0.0464
4,0,0.9159,0.3907,0.2788,2.3587
4,1,0.9521,0.9795,0.1589,0.0703
4,2,0.9601,0.9841,0.1321,0.0547
4,3,0.9649,0.9872,0.1160,0.0452
