training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.8871,0.1160,0.3344,2.3092
0,1,0.9803,0.9866,0.0644,0.0425
0,2,0.9843,0.9927,0.0501,0.0236
1,0,0.9592,0.2846,0.1339,3.0246
1,1,0.9838,0.9832,0.0538,0.0522
1,2,0.9881,0.9891,0.0394,0.0343
2,0,0.9582,0.3761,0.1390,3.9151
2,1,0.9837,0.9841,0.0540,0.0493
2,2,0.9876,0.9893,0.0423,0.0342
3,0,0.9597,0.4033,0.1384,3.5113
3,1,0.9845,0.9857,0.0530,0.0454
3,2,0.9882,0.9898,0.0408,0.0319
4,0,0.9630,0.4311,0.1246,2.9217
4,1,0.9845,0.9851,0.0519,0.0461
4,2,0.9886,0.9900,0.0405,0.0325
