training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.7947,0.1160,0.6853,2.3092
0,1,0.9390,0.9720,0.1958,0.1023
0,2,0.9514,0.9792,0.1555,0.0700
0,3,0.9590,0.9840,0.1306,0.0541
1,0,0.8297,0.2078,0.5333,3.3305
1,1,0.9121,0.9536,0.2780,0.1535
1,2,0.9278,0.9649,0.2279,0.1129
1,3,0.9366,0.9699,0.2016,0.0967
1,4,0.9402,0.9744,0.1868,0.0821
2,0,0.8326,0.3503,0.5265,3.1134
2,1,0.9073,0.9602,0.2876,0.1340
2,2,0.9240,0.9708,0.2383,0.0987
2,3,0.9351,0.9747,0.2062,0.0846
2,4,0.9409,0.9780,0.1865,0.0744
3,0,0.8291,0.3423,0.5282,3.2256
3,1,0.9022,0.9628,0.3039,0.1298
3,2,0.9193,0.9709,0.2538,0.0987
4,0,0.8233,0.3430,0.5470,2.2469
4,1,0.8941,0.9613,0.3298,0.1421
4,2,0.9132,0.9699,0.2744,0.1023
4,3,0.9220,0.9737,0.2494,0.0900
