training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.9033,0.1160,0.2881,2.3092
0,1,0.9807,0.9890,0.0614,0.0354
1,0,0.9335,0.2885,0.2178,2.9832
1,1,0.9660,0.9789,0.1097,0.0658
1,2,0.9717,0.9839,0.0903,0.0508
2,0,0.9280,0.3779,0.2399,3.3051
2,1,0.9650,0.9805,0.1138,0.0626
2,2,0.9731,0.9865,0.0896,0.0445
3,0,0.9307,0.3924,0.2349,3.2185
3,1,0.9642,0.9798,0.1158,0.0653
3,2,0.9723,0.9860,0.0935,0.0464
4,0,0.9296,0.3973,0.2342,2.8388
4,1,0.9629,0.9799,0.1241,0.0684
4,2,0.9693,0.9840,0.1038,0.0533
