training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.8933,0.1197,0.3221,2.3220
0,1,0.9797,0.9892,0.0661,0.0344
0,2,0.9848,0.9925,0.0498,0.0238
1,0,0.9446,0.2978,0.1748,3.1329
1,1,0.9789,0.9874,0.0686,0.0404
1,2,0.9837,0.9912,0.0531,0.0283
2,0,0.9525,0.3216,0.1544,2.6751
2,1,0.9807,0.9882,0.0636,0.0382
2,2,0.9847,0.9914,0.0506,0.0278
3,0,0.9539,0.4393,0.1497,2.2750
3,1,0.9807,0.9859,0.0621,0.0433
3,2,0.9859,0.9922,0.0476,0.0258
4,0,0.9561,0.4068,0.1439,2.3075
4,1,0.9809,0.9877,0.0626,0.0385
4,2,0.9859,0.9919,0.0488,0.0265
