training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.8961,0.1197,0.3104,2.3220
0,1,0.9798,0.9887,0.0658,0.0353
0,2,0.9850,0.9925,0.0481,0.0244
1,0,0.9269,0.2685,0.2385,3.1196
1,1,0.9641,0.9810,0.1148,0.0601
1,2,0.9694,0.9850,0.0962,0.0461
2,0,0.9223,0.3352,0.2534,3.3658
2,1,0.9626,0.9826,0.1200,0.0591
3,0,0.9206,0.4027,0.2594,3.0244
3,1,0.9610,0.9802,0.1242,0.0635
3,2,0.9682,0.9853,0.1036,0.0464
4,0,0.9219,0.4148,0.2561,2.4627
4,1,0.9574,0.9799,0.1387,0.0682
4,2,0.9651,0.9849,0.1139,0.0508
