training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.8961,0.1197,0.3104,2.3220
0,1,0.9798,0.9887,0.0658,0.0353
0,2,0.9850,0.9925,0.0481,0.0244
1,0,0.9206,0.2685,0.2597,3.1196
1,1,0.9595,0.9812,0.1288,0.0589
1,2,0.9669,0.9848,0.1079,0.0473
2,0,0.9192,0.3521,0.2679,3.3352
2,1,0.9588,0.9830,0.1324,0.0565
2,2,0.9662,0.9870,0.1093,0.0425
3,0,0.9209,0.4155,0.2631,2.7918
3,1,0.9574,0.9804,0.1393,0.0640
3,2,0.9650,0.9864,0.1138,0.0461
4,0,0.9177,0.4053,0.2703,2.2632
4,1,0.9537,0.9801,0.1536,0.0684
4,2,0.9611,0.9842,0.1276,0.0525
