training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.8933,0.1197,0.3221,2.3220
0,1,0.9797,0.9892,0.0661,0.0344
0,2,0.9848,0.9925,0.0498,0.0238
1,0,0.9603,0.2978,0.1294,3.1329
1,1,0.9840,0.9841,0.0518,0.0489
1,2,0.9879,0.9884,0.0400,0.0375
2,0,0.9594,0.3823,0.1358,3.4984
2,1,0.9839,0.9824,0.0541,0.0551
2,2,0.9879,0.9888,0.0411,0.0351
3,0,0.9589,0.3869,0.1399,3.6069
3,1,0.9838,0.9844,0.0559,0.0481
3,2,0.9879,0.9893,0.0418,0.0353
4,0,0.9637,0.4258,0.1242,2.6689
4,1,0.9848,0.9849,0.0531,0.0488
4,2,0.9884,0.9883,0.0399,0.0362
4,3,0.9905,0.9917,0.0332,0.0261
